Transaction ID,Date,Region,Product,Amount
500,28-01-2026,North,Laptop,20142.087
501,15-02-2026,North,Tablet,31280.642
502,18-03-2026,South,Laptop,20745.284
503,06-02-2026,South,Tablet,13660.104
504,18-03-2026,South,Phone,14184.018
505,14-03-2026,East,Phone,17328.204
506,16-02-2026,North,Tablet,40490.781
507,23-01-2026,West,Phone,11975.141
508,08-02-2026,West,Tablet,45686.864
509,04-02-2026,West,Tablet,30319.937
510,13-02-2026,South,Laptop,35103.048
511,14-02-2026,North,Laptop,39331.491
512,16-02-2026,North,Laptop,26903.811
513,22-02-2026,East,Phone,20862.69
514,02-03-2026,West,Phone,43656.01
515,10-02-2026,East,Tablet,22543.02
516,29-01-2026,South,Phone,41653.496
517,14-03-2026,South,Tablet,28669.029
518,04-02-2026,West,Phone,33993.913
519,16-03-2026,West,Phone,13571.844
520,16-03-2026,South,Tablet,45348.751
521,03-03-2026,West,Phone,16342.29
522,31-01-2026,East,Phone,44498.591
523,19-03-2026,South,Tablet,12529.842
524,05-03-2026,East,Tablet,34221.645
525,15-02-2026,East,Tablet,27857.461
526,21-03-2026,South,Tablet,12555.47
527,14-02-2026,East,Laptop,19479.0
528,21-03-2026,South,Laptop,20984.238
529,23-03-2026,East,Phone,22091.304
530,17-02-2026,East,Laptop,19097.277
531,14-03-2026,East,Phone,16548.109
532,24-01-2026,West,Tablet,10872.77
533,25-01-2026,North,Laptop,44256.066
534,01-03-2026,North,Phone,42557.294
535,24-02-2026,West,Phone,19570.178
536,12-03-2026,South,Laptop,40222.049
537,19-03-2026,East,Tablet,35387.331
538,08-02-2026,East,Tablet,15169.22
539,14-02-2026,South,Tablet,18205.723
540,05-02-2026,South,Tablet,49856.486
541,03-03-2026,East,Laptop,42501.092
542,28-01-2026,South,Phone,34479.947
543,12-02-2026,East,Phone,12034.883
544,30-01-2026,North,Laptop,45371.236
545,09-03-2026,West,Tablet,29766.203
546,28-02-2026,West,Phone,17058.747
547,16-03-2026,East,Phone,30149.572
548,16-02-2026,West,Laptop,18953.345
549,19-02-2026,South,Tablet,17350.355
550,31-01-2026,East,Laptop,47788.773
551,26-01-2026,South,Phone,47419.209
552,11-03-2026,East,Phone,36416.573
553,01-03-2026,West,Laptop,46417.885
554,27-02-2026,North,Tablet,36838.986
555,12-02-2026,North,Phone,27961.25
556,20-02-2026,East,Laptop,12284.78
557,23-03-2026,South,Phone,37884.863
558,19-03-2026,South,Tablet,45850.778
559,20-02-2026,East,Laptop,32760.437
560,12-03-2026,South,Phone,48426.009
561,26-02-2026,West,Tablet,46485.411
562,26-02-2026,North,Tablet,33796.707
563,04-03-2026,South,Tablet,49474.638
564,03-03-2026,North,Tablet,20904.157
565,14-02-2026,West,Phone,41679.754
566,24-02-2026,North,Phone,40151.774
567,16-02-2026,South,Phone,41562.704
568,28-02-2026,East,Phone,46288.6
569,01-02-2026,East,Phone,29874.481
570,01-03-2026,East,Laptop,31088.261
571,01-03-2026,East,Laptop,38109.399
572,24-02-2026,North,Phone,16495.286
573,05-03-2026,South,Laptop,34274.978
574,26-02-2026,West,Phone,43411.171
575,07-02-2026,North,Tablet,15748.63
576,18-03-2026,North,Phone,41343.314
577,21-03-2026,East,Tablet,21591.245
578,28-02-2026,North,Tablet,28995.585
579,29-01-2026,West,Laptop,38092.926
580,24-03-2026,North,Tablet,30936.798
581,16-02-2026,North,Phone,36258.433
582,19-02-2026,North,Phone,37755.197
583,23-02-2026,South,Tablet,38085.908
584,05-03-2026,South,Laptop,25210.617
585,07-02-2026,East,Tablet,46983.708
586,01-02-2026,West,Phone,29727.26
587,09-02-2026,East,Tablet,45549.193
588,08-02-2026,North,Laptop,11089.552
589,27-01-2026,North,Laptop,15080.051
590,29-01-2026,East,Laptop,14968.475
591,02-03-2026,South,Laptop,17700.292
592,25-01-2026,East,Phone,17319.34
593,25-02-2026,East,Laptop,33241.515
594,26-01-2026,South,Phone,27168.183
595,05-03-2026,West,Phone,10532.367
596,16-03-2026,North,Tablet,32997.1
597,11-02-2026,South,Tablet,29817.3
598,27-01-2026,West,Tablet,32976.98
599,24-01-2026,South,Tablet,34243.278
600,19-03-2026,East,Tablet,14463.863
601,01-02-2026,West,Tablet,48401.813
602,25-02-2026,North,Tablet,28520.199
603,05-02-2026,North,Phone,16067.325
604,17-02-2026,North,Laptop,24707.041
605,14-03-2026,West,Laptop,35468.73
606,23-03-2026,North,Phone,30542.247
607,28-02-2026,East,Tablet,49702.891
608,22-03-2026,West,Laptop,34459.119
609,04-02-2026,East,Tablet,19390.247
610,03-02-2026,North,Tablet,10978.709
611,23-03-2026,East,Laptop,14450.072
612,05-02-2026,East,Phone,39752.314
613,11-02-2026,West,Tablet,15893.969
614,24-03-2026,North,Phone,12945.776
615,28-01-2026,East,Phone,42698.441
616,05-03-2026,South,Tablet,47944.557
617,23-03-2026,West,Laptop,33958.802
618,23-02-2026,South,Phone,26265.53
619,18-02-2026,South,Laptop,37491.039
620,15-02-2026,West,Tablet,31756.448
621,15-02-2026,East,Tablet,20835.417
622,08-03-2026,North,Tablet,11542.434
623,12-02-2026,North,Tablet,13191.55
624,29-01-2026,South,Phone,26383.43
625,18-02-2026,North,Tablet,27277.509
626,09-02-2026,West,Laptop,21335.449
627,17-02-2026,West,Laptop,40474.784
628,24-01-2026,North,Laptop,19707.923
629,01-03-2026,West,Tablet,47456.359
630,20-03-2026,North,Phone,10186.045
631,21-02-2026,West,Laptop,19465.735
632,11-03-2026,South,Tablet,22910.647
633,08-03-2026,North,Phone,36060.498
634,28-02-2026,North,Laptop,11889.551
635,10-02-2026,East,Laptop,47987.86
636,10-02-2026,West,Laptop,21286.306
637,20-02-2026,East,Laptop,10469.799
638,18-02-2026,South,Tablet,46373.732
639,08-02-2026,South,Laptop,23861.691
640,09-02-2026,East,Phone,38769.587
641,07-03-2026,North,Laptop,20456.878
642,06-03-2026,East,Laptop,34085.137
643,16-02-2026,South,Tablet,25630.252
644,20-03-2026,East,Phone,30510.786
645,11-03-2026,East,Phone,20659.836
646,21-02-2026,South,Tablet,10228.756
647,30-01-2026,South,Tablet,18091.99
648,07-02-2026,East,Phone,31484.553
649,01-03-2026,North,Tablet,47429.259
650,11-03-2026,North,Tablet,22709.534
651,17-03-2026,South,Laptop,42676.182
652,28-02-2026,East,Laptop,35401.141
653,24-03-2026,South,Phone,26307.728
654,16-03-2026,West,Laptop,30264.772
655,10-03-2026,West,Laptop,28710.551
656,07-02-2026,East,Tablet,16188.784
657,23-01-2026,North,Laptop,16604.488
658,16-02-2026,North,Phone,40594.886
659,24-03-2026,South,Tablet,23923.038
660,02-03-2026,South,Tablet,13373.373
661,20-03-2026,West,Phone,39562.065
662,28-02-2026,East,Laptop,27128.408
663,15-03-2026,North,Laptop,44413.105
664,04-02-2026,South,Laptop,25587.389
665,22-02-2026,West,Phone,21000.78
666,21-02-2026,South,Laptop,23927.652
667,03-02-2026,South,Phone,29473.292
668,20-03-2026,North,Phone,35322.674
669,23-01-2026,North,Phone,36107.118
670,28-02-2026,East,Phone,25015.613
671,15-02-2026,East,Tablet,25388.546
672,01-03-2026,West,Laptop,12330.608
